subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
143,2,4,25,true,differentsizes,true,false,0,9,blue,small,wug,23,3,big,2/20/2020,20:41,22190,12097,4,3,0,stim-images/object9bluesmall.jpg,small,"0
"
143,3,3,75,false,differentsizes,false,false,1,17,red,small,toma,12,18,big,2/20/2020,20:41,19846,11298,5,1,0,stim-images/object12redbig.jpg,big,"0
"
143,4,6,75,true,samesize,false,false,2,20,red,small,sprock,10,2,big,2/20/2020,20:42,19352,11724,5,2,0,stim-images/object2redsmall.jpg,small,"0
"
143,5,2,100,true,contrast,true,false,0,22,purple,big,gade,15,5,small,2/20/2020,20:42,13223,10434,6,5,4,stim-images/object22purplebig.jpg,big,"0
"
143,6,0,100,true,attncheck,true,false,0,22,purple,big,gade,15,5,small,2/20/2020,20:42,13223,10434,6,5,4,stim-images/object22purplebig.jpg,big,"8
"
125,1,4,30,true,differentsizes,true,false,0,14,green,big,gade,2,5,small,2/20/2020,20:38,19369,16667,4,3,0,stim-images/object14greenbig.jpg,big,"0
"
125,2,2,40,true,contrast,true,false,0,10,purple,small,toma,20,4,big,2/20/2020,20:39,14170,15622,5,6,4,stim-images/object10purplesmall.jpg,small,"0
"
125,3,5,100,false,samesize,false,false,2,17,green,small,blicket,19,11,big,2/20/2020,20:39,13926,9221,4,3,0,stim-images/object11greensmall.jpg,small,"0
"
125,4,3,50,false,differentsizes,true,false,0,18,blue,small,sprock,13,22,big,2/20/2020,20:40,21285,11778,5,3,0,stim-images/object18bluesmall.jpg,small,"0
"
125,5,6,25,true,samesize,false,false,1,8,purple,small,wug,6,1,big,2/20/2020,20:40,26943,9451,4,1,0,stim-images/object6purplesmall.jpg,small,"0
"
125,6,0,25,true,attncheck,false,false,1,8,purple,small,wug,6,1,big,2/20/2020,20:40,26943,9451,4,1,0,stim-images/object6purplesmall.jpg,small,"8
"
198,1,4,33,true,differentsizes,true,false,0,1,green,big,sprock,13,18,small,2/20/2020,20:38,14676,7633,5,1,0,stim-images/object1greenbig.jpg,big,"0
"
198,2,6,35,true,samesize,false,false,1,10,green,small,gade,8,7,big,2/20/2020,20:38,19312,4246,5,3,0,stim-images/object8greensmall.jpg,small,"0
"
198,3,3,40,false,differentsizes,true,false,0,23,purple,small,toma,6,4,big,2/20/2020,20:38,13080,7676,4,3,0,stim-images/object23purplesmall.jpg,small,"0
"
198,4,2,32,true,contrast,false,true,1,3,purple,big,wug,5,17,small,2/20/2020,20:39,10324,6727,5,4,6,stim-images/object5purplebig.jpg,big,"0
"
198,5,5,75,false,samesize,false,false,2,24,blue,big,blicket,16,21,small,2/20/2020,20:39,18819,5740,5,3,0,stim-images/object21bluebig.jpg,big,"0
"
198,6,0,75,false,attncheck,false,false,2,24,blue,big,blicket,16,21,small,2/20/2020,20:39,18819,5740,5,3,0,stim-images/object21bluebig.jpg,big,"6
"
34,1,6,50,true,samesize,false,false,2,13,green,big,blicket,4,21,small,2/20/2020,19:39,26480,11657,6,1,0,stim-images/object21greenbig.jpg,big,"0
"
34,2,4,50,true,differentsizes,true,false,0,12,red,small,gade,5,14,big,2/20/2020,19:39,17740,6926,6,1,0,stim-images/object12redsmall.jpg,small,"0
"
34,3,5,90,false,samesize,false,false,2,18,red,small,sprock,11,7,big,2/20/2020,19:40,19147,13475,5,1,0,stim-images/object7redsmall.jpg,small,"0
"
